Loan Number,Loan Officer,Primary Borrower,Co-Borrowers,Primary Borrower: Email,Co-Borrowers: Email,Subject Property: Address: 1,Subject Property: Address: State,Funding Date,Program,Total Loan Amount,Doc Signed Date,Interest Rate,Custom: PCL Loan Type,LTV,CLTV,DTI
4195XXX,Brad Overlin,Mock Borrower 37,,mock_37@example.com,mock_co_37@example.com,"6764 Mock St, City, TX 12345",TX,5/19/2025,VA 30,"$655,955.00",5/15/2025,6.750%,VA,100.000%,100.000%,0.000%
4365XXX,Brad Overlin,Mock Borrower 38,,mock_38@example.com,mock_co_38@example.com,"3688 Mock St, City, WA 12345",WA,5/7/2025,EA GS 30 Bnk Stmt,"$1,799,900.00",5/7/2025,9.750%,Conventional,90.000%,89.995%,0.000%
4365XXX,Brad Overlin,Mock Borrower 39,,mock_39@example.com,mock_co_39@example.com,"4207 Mock St, City, WA 12345",WA,5/2/2025,C 30 HB,"$1,000,450.00",5/2/2025,6.625%,Conventional,72.760%,72.760%,0.000%
4357XXX,Brad Overlin,Mock Borrower 40,,mock_40@example.com,mock_co_40@example.com,"8374 Mock St, City, WA 12345",WA,5/2/2025,J 30 Redwood Express,"$1,452,000.00",4/28/2025,7.500%,Conventional,80.000%,80.000%,0.000%
4223XXX,Brad Overlin,Mock Borrower 41,,mock_41@example.com,mock_co_41@example.com,"5919 Mock St, City, WA 12345",WA,4/28/2025,C30,"$222,000.00",4/17/2025,6.750%,Conventional,29.800%,29.799%,0.000%
4220XXX,Brad Overlin,Mock Borrower 42,,mock_42@example.com,,"3294 Mock St, City, WA 12345",WA,4/28/2025,VA IRRRL 30 NCQ,"$389,689.00",4/22/2025,6.125%,VA,92.320%,92.322%,0.000%
4283XXX,Brad Overlin,Mock Borrower 43,,mock_43@example.com,mock_co_43@example.com,"5160 Mock St, City, WA 12345",WA,4/25/2025,FHA 30 SL NCQ,"$712,734.00",4/21/2025,6.000%,FHA,95.170%,95.173%,0.000%
4353XXX,Brad Overlin,Mock Borrower 44,,mock_44@example.com,mock_co_44@example.com,"5121 Mock St, City, WA 12345",WA,4/18/2025,VA IRRRL 30 NCQ,"$557,975.00",4/14/2025,6.250%,VA,93.000%,92.996%,0.000%
4347XXX,Brad Overlin,Mock Borrower 45,,mock_45@example.com,mock_co_45@example.com,"9529 Mock St, City, CA 12345",CA,4/7/2025,J 30 Preferred Express,"$2,100,000.00",4/2/2025,6.500%,Conventional,70.000%,70.000%,0.000%
4339XXX,Brad Overlin,Mock Borrower 46,,mock_46@example.com,mock_co_46@example.com,"9668 Mock St, City, WA 12345",WA,4/8/2025,EA LR 30 Bnk Stmt,"$2,500,000.00",4/7/2025,7.125%,Conventional,67.110%,67.114%,0.000%
4312XXX,Brad Overlin,Mock Borrower 47,,mock_47@example.com,,"6395 Mock St, City, WA 12345",WA,4/4/2025,C30,"$742,000.00",4/1/2025,6.990%,Conventional,80.000%,80.000%,0.000%
4345XXX,Brad Overlin,Mock Borrower 48,,mock_48@example.com,,"4292 Mock St, City, WA 12345",WA,3/31/2025,HomeReady 30,"$257,980.00",3/25/2025,6.990%,Conventional,85.990%,85.993%,0.000%
4343XXX,Brad Overlin,Mock Borrower 49,,mock_49@example.com,,"9314 Mock St, City, WA 12345",WA,3/25/2025,C30,"$408,000.00",3/11/2025,6.990%,Conventional,80.000%,80.000%,0.000%
4298XXX,Brad Overlin,Mock Borrower 50,,mock_50@example.com,mock_co_50@example.com,"5313 Mock St, City, WA 12345",WA,3/20/2025,J 30 Preferred Express,"$1,100,000.00",3/18/2025,6.625%,Conventional,80.000%,80.000%,0.000%
4333XXX,Brad Overlin,Mock Borrower 51,,mock_51@example.com,mock_co_51@example.com,"8691 Mock St, City, WA 12345",WA,3/18/2025,J 30 Truist,"$1,139,870.00",3/17/2025,6.750%,Conventional,87.680%,87.682%,0.000%
4302XXX,Brad Overlin,Mock Borrower 52,,mock_52@example.com,,"5497 Mock St, City, WA 12345",WA,2/27/2025,C30,"$443,000.00",2/27/2025,6.812%,Conventional,65.340%,65.339%,0.000%
4332XXX,Brad Overlin,Mock Borrower 53,,mock_53@example.com,mock_co_53@example.com,"7583 Mock St, City, WA 12345",WA,2/28/2025,FHA 5/1,"$584,223.00",2/28/2025,6.250%,FHA,96.500%,96.500%,0.000%
4087XXX,Brad Overlin,Mock Borrower 54,,mock_54@example.com,,"7292 Mock St, City, WA 12345",WA,12/16/2024,VA IRRRL 30 NCQ,"$424,110.00",12/10/2024,5.750%,VA,102.930%,102.927%,0.000%
4298XXX,Brad Overlin,Mock Borrower 55,,mock_55@example.com,mock_co_55@example.com,"9049 Mock St, City, OR 12345",OR,12/12/2024,C30,"$275,000.00",12/9/2024,6.937%,Conventional,55.000%,55.000%,0.000%
4292XXX,Brad Overlin,Mock Borrower 56,,mock_56@example.com,mock_co_56@example.com,"2783 Mock St, City, WA 12345",WA,11/27/2024,C30,"$708,712.00",11/25/2024,6.500%,Conventional,75.000%,75.000%,0.000%
4294XXX,Brad Overlin,Mock Borrower 57,,mock_57@example.com,mock_co_57@example.com,"7481 Mock St, City, WA 12345",WA,11/25/2024,VA 5/1,"$551,500.00",11/25/2024,5.750%,VA,100.000%,100.000%,0.000%
4282XXX,Brad Overlin,Mock Borrower 58,,mock_58@example.com,mock_co_58@example.com,"1886 Mock St, City, WA 12345",WA,11/22/2024,ER C30,"$800,000.00",11/21/2024,6.990%,Conventional,94.120%,94.118%,0.000%
4267XXX,Brad Overlin,Mock Borrower 59,,mock_59@example.com,mock_co_59@example.com,"1735 Mock St, City, OH 12345",OH,11/15/2024,C30,"$95,550.00",11/14/2024,6.875%,Conventional,70.000%,70.000%,0.000%
4260XXX,Brad Overlin,Mock Borrower 60,,mock_60@example.com,mock_co_60@example.com,"1346 Mock St, City, WA 12345",WA,11/5/2024,C30,"$665,000.00",11/4/2024,6.937%,Conventional,95.000%,95.000%,0.000%
4215XXX,Brad Overlin,Mock Borrower 61,,mock_61@example.com,mock_co_61@example.com,"1195 Mock St, City, WA 12345",WA,11/4/2024,C30,"$540,000.00",11/2/2024,7.812%,Conventional,90.000%,90.000%,0.000%
4281XXX,Brad Overlin,Mock Borrower 62,,mock_62@example.com,mock_co_62@example.com,"1184 Mock St, City, WA 12345",WA,10/25/2024,C30,"$125,400.00",10/24/2024,6.125%,Conventional,60.000%,60.000%,0.000%
4118XXX,Brad Overlin,Mock Borrower 63,,mock_63@example.com,mock_co_63@example.com,"8334 Mock St, City, WA 12345",WA,10/18/2024,Temp 1/0 Buydown C30 HB,"$892,500.00",10/17/2024,6.500%,Conventional,85.000%,85.000%,0.000%
4208XXX,Brad Overlin,Mock Borrower 64,,mock_64@example.com,mock_co_64@example.com,"5824 Mock St, City, WA 12345",WA,10/15/2024,J 30 Preferred Express,"$1,125,000.00",10/15/2024,6.500%,Conventional,48.910%,48.913%,0.000%
4264XXX,Brad Overlin,Mock Borrower 65,,mock_65@example.com,mock_co_65@example.com,"3633 Mock St, City, CA 12345",CA,10/15/2024,EA SGCAP Flex 30,"$2,100,000.00",10/4/2024,6.625%,Conventional,70.000%,70.000%,0.000%
4280XXX,Brad Overlin,Mock Borrower 66,,mock_66@example.com,mock_co_66@example.com,"1038 Mock St, City, WA 12345",WA,10/11/2024,C30,"$463,046.00",10/10/2024,5.375%,Conventional,46.300%,46.300%,0.000%
4262XXX,Brad Overlin,Mock Borrower 67,,mock_67@example.com,mock_co_67@example.com,"2212 Mock St, City, WA 12345",WA,9/25/2024,C30,"$314,100.00",9/20/2024,6.625%,Conventional,33.590%,33.594%,0.000%
4254XXX,Brad Overlin,Mock Borrower 68,,mock_68@example.com,mock_co_68@example.com,"1962 Mock St, City, WA 12345",WA,9/25/2024,C30,"$664,050.00",9/24/2024,6.125%,Conventional,95.000%,95.000%,0.000%
4181XXX,Brad Overlin,Mock Borrower 69,,mock_69@example.com,mock_co_69@example.com,"9467 Mock St, City, WA 12345",WA,9/25/2024,C30,"$279,600.00",9/23/2024,7.125%,Conventional,60.000%,60.000%,0.000%
4262XXX,Brad Overlin,Mock Borrower 70,,mock_70@example.com,,"5891 Mock St, City, WA 12345",WA,9/18/2024,C 30 (AMI),"$503,500.00",9/18/2024,5.937%,Conventional,95.000%,95.000%,0.000%
4258XXX,Brad Overlin,Mock Borrower 71,,mock_71@example.com,mock_co_71@example.com,"9822 Mock St, City, NV 12345",NV,9/13/2024,C30,"$150,000.00",9/10/2024,7.125%,Conventional,41.320%,41.322%,0.000%
4266XXX,Brad Overlin,Mock Borrower 72,,mock_72@example.com,mock_co_72@example.com,"6116 Mock St, City, WA 12345",WA,9/9/2024,C 30 HB,"$900,000.00",9/9/2024,7.500%,Conventional,80.000%,80.000%,0.000%
4240XXX,Brad Overlin,Mock Borrower 73,,mock_73@example.com,mock_co_73@example.com,"5592 Mock St, City, WA 12345",WA,9/3/2024,C 30 HB,"$905,000.00",8/28/2024,6.625%,Conventional,29.190%,29.194%,0.000%
4253XXX,Brad Overlin,Mock Borrower 74,,mock_74@example.com,mock_co_74@example.com,"8814 Mock St, City, WA 12345",WA,8/26/2024,C 30 HB,"$952,500.00",8/23/2024,6.625%,Conventional,75.000%,75.000%,0.000%
4244XXX,Brad Overlin,Mock Borrower 75,,mock_75@example.com,mock_co_75@example.com,"4134 Mock St, City, WA 12345",WA,8/23/2024,C 30 (AMI),"$663,200.00",8/19/2024,6.500%,Conventional,80.000%,80.000%,0.000%
4249XXX,Brad Overlin,Mock Borrower 76,,mock_76@example.com,mock_co_76@example.com,"3794 Mock St, City, NV 12345",NV,8/23/2024,C30,"$206,000.00",8/22/2024,7.500%,Conventional,40.000%,40.000%,0.000%
4250XXX,Brad Overlin,Mock Borrower 77,,mock_77@example.com,,"6682 Mock St, City, WA 12345",WA,8/21/2024,C 30 HB,"$872,408.00",8/21/2024,6.125%,Conventional,95.000%,95.000%,0.000%
4222XXX,Brad Overlin,Mock Borrower 78,,mock_78@example.com,mock_co_78@example.com,"6169 Mock St, City, OR 12345",OR,8/20/2024,VA 30,"$752,845.00",8/19/2024,5.000%,VA,100.000%,100.000%,0.000%
4224XXX,Brad Overlin,Mock Borrower 79,,mock_79@example.com,mock_co_79@example.com,"8493 Mock St, City, NV 12345",NV,7/29/2024,J 30 Preferred Express,"$980,000.00",7/22/2024,7.125%,Conventional,80.000%,80.000%,0.000%
4211XXX,Brad Overlin,Mock Borrower 80,,mock_80@example.com,mock_co_80@example.com,"8032 Mock St, City, WA 12345",WA,7/18/2024,C 30 (AMI),"$650,000.00",7/17/2024,6.990%,Conventional,86.670%,86.667%,0.000%
4212XXX,Brad Overlin,Mock Borrower 81,,mock_81@example.com,mock_co_81@example.com,"2150 Mock St, City, AZ 12345",AZ,7/19/2024,C30,"$455,000.00",7/5/2024,6.562%,Conventional,59.170%,59.169%,0.000%
4228XXX,Brad Overlin,Mock Borrower 82,,mock_82@example.com,mock_co_82@example.com,"386 Mock St, City, WA 12345",WA,7/11/2024,WSHFC Advantage 2nd Lien w GVT 1st (DTI),"$15,710.00",7/10/2024,0.000%,Conventional,0.000%,100.427%,0.000%
4076XXX,Brad Overlin,Mock Borrower 83,,mock_83@example.com,mock_co_83@example.com,"8585 Mock St, City, WA 12345",WA,7/11/2024,WSHFC Home Adv (FHA) w ADV DPA (DTI),"$392,755.00",7/10/2024,7.000%,FHA,96.500%,100.427%,0.000%
4116XXX,Brad Overlin,Mock Borrower 84,,mock_84@example.com,mock_co_84@example.com,"2644 Mock St, City, WA 12345",WA,7/10/2024,EA SGCAP Flex 30 Bnk Stmt,"$1,717,150.00",7/9/2024,7.000%,Conventional,66.040%,66.044%,0.000%
4161XXX,Brad Overlin,Mock Borrower 85,,mock_85@example.com,,"986 Mock St, City, WA 12345",WA,6/27/2024,C30,"$940,500.00",6/26/2024,6.990%,Conventional,90.000%,90.000%,0.000%
4163XXX,Brad Overlin,Mock Borrower 86,,mock_86@example.com,,"2852 Mock St, City, TX 12345",TX,6/14/2024,C30,"$262,500.00",6/13/2024,6.990%,Conventional,75.000%,75.000%,0.000%
4205XXX,Brad Overlin,Mock Borrower 87,,mock_87@example.com,mock_co_87@example.com,"7335 Mock St, City, WA 12345",WA,6/6/2024,C30,"$495,000.00",5/31/2024,6.125%,Conventional,90.000%,90.000%,0.000%
4164XXX,Brad Overlin,Mock Borrower 88,,mock_88@example.com,mock_co_88@example.com,"9270 Mock St, City, WA 12345",WA,6/4/2024,C30,"$281,250.00",6/3/2024,8.062%,Conventional,75.000%,75.000%,0.000%
4174XXX,Brad Overlin,Mock Borrower 89,,mock_89@example.com,mock_co_89@example.com,"945 Mock St, City, WA 12345",WA,5/30/2024,C 30 HB,"$977,500.00",5/24/2024,6.990%,Conventional,69.570%,87.011%,0.000%
4194XXX,Brad Overlin,Mock Borrower 90,,mock_90@example.com,mock_co_90@example.com,"3777 Mock St, City, WA 12345",WA,5/22/2024,C30,"$750,000.00",5/17/2024,7.062%,Conventional,66.370%,66.372%,0.000%
4178XXX,Brad Overlin,Mock Borrower 91,,mock_91@example.com,mock_co_91@example.com,"8337 Mock St, City, WA 12345",WA,5/17/2024,C 30 HB,"$976,250.00",5/13/2024,6.990%,Conventional,79.560%,79.564%,0.000%
4180XXX,Brad Overlin,Mock Borrower 92,,mock_92@example.com,mock_co_92@example.com,"7897 Mock St, City, WA 12345",WA,5/7/2024,VA 30,"$550,000.00",5/7/2024,6.750%,VA,100.000%,100.000%,0.000%
4172XXX,Brad Overlin,Mock Borrower 93,,mock_93@example.com,mock_co_93@example.com,"4302 Mock St, City, WA 12345",WA,4/30/2024,J 30 Preferred Express,"$1,999,000.00",4/26/2024,6.625%,Conventional,64.900%,64.903%,0.000%
4182XXX,Brad Overlin,Mock Borrower 94,,mock_94@example.com,mock_co_94@example.com,"1686 Mock St, City, WA 12345",WA,4/12/2024,C 30 HB,"$900,000.00",4/11/2024,6.750%,Conventional,75.000%,75.000%,0.000%
4177XXX,Brad Overlin,Mock Borrower 95,,mock_95@example.com,,"4193 Mock St, City, WA 12345",WA,4/10/2024,C30,"$685,998.00",4/4/2024,6.937%,Conventional,66.280%,66.280%,0.000%
4095XXX,Brad Overlin,Mock Borrower 96,,mock_96@example.com,,"2935 Mock St, City, WA 12345",WA,4/2/2024,C30,"$652,000.00",4/2/2024,6.562%,Conventional,80.000%,80.000%,0.000%
4128XXX,Brad Overlin,Mock Borrower 97,,mock_97@example.com,,"6060 Mock St, City, TX 12345",TX,3/29/2024,FHA 30,"$373,107.00",3/29/2024,6.750%,FHA,96.500%,96.500%,0.000%
4168XXX,Brad Overlin,Mock Borrower 98,,mock_98@example.com,,"4572 Mock St, City, WA 12345",WA,3/29/2024,FHA 30,"$725,274.00",3/28/2024,6.750%,FHA,91.380%,91.385%,0.000%
4147XXX,Brad Overlin,Mock Borrower 99,,mock_99@example.com,,"2170 Mock St, City, NV 12345",NV,3/22/2024,J 30 Preferred Express,"$880,000.00",3/22/2024,7.125%,Conventional,80.000%,80.000%,0.000%
4166XXX,Brad Overlin,Mock Borrower 100,,mock_100@example.com,mock_co_100@example.com,"8029 Mock St, City, WA 12345",WA,3/14/2024,C30,"$263,550.00",3/13/2024,6.312%,Conventional,62.760%,62.758%,0.000%
4095XXX,Brad Overlin,Mock Borrower 101,,mock_101@example.com,mock_co_101@example.com,"4992 Mock St, City, WA 12345",WA,3/15/2024,J 30 Preferred Express,"$2,460,000.00",3/14/2024,6.125%,Conventional,75.000%,75.000%,0.000%
4158XXX,Brad Overlin,Mock Borrower 102,,mock_102@example.com,,"8191 Mock St, City, WA 12345",WA,3/1/2024,C 30 (AMI),"$757,950.00",3/1/2024,6.500%,Conventional,93.000%,93.000%,0.000%
4150XXX,Brad Overlin,Mock Borrower 103,,mock_103@example.com,,"5978 Mock St, City, WA 12345",WA,3/1/2024,C30,"$420,000.00",2/27/2024,6.062%,Conventional,70.000%,70.000%,0.000%
4144XXX,Brad Overlin,Mock Borrower 104,,mock_104@example.com,,"9450 Mock St, City, WA 12345",WA,2/26/2024,Temp 1/0 Buydown C 30 (AMI),"$352,000.00",2/23/2024,6.562%,Conventional,80.000%,80.000%,0.000%
4122XXX,Brad Overlin,Mock Borrower 105,,mock_105@example.com,,"249 Mock St, City, WA 12345",WA,2/23/2024,EA GS 30 Bnk Stmt,"$927,000.00",2/22/2024,10.500%,Conventional,90.000%,90.000%,0.000%
4135XXX,Brad Overlin,Mock Borrower 106,,mock_106@example.com,,"9915 Mock St, City, WA 12345",WA,2/16/2024,VA 30,"$379,950.00",2/12/2024,6.250%,VA,100.000%,100.000%,0.000%
4102XXX,Brad Overlin,Mock Borrower 107,,mock_107@example.com,mock_co_107@example.com,"8531 Mock St, City, WA 12345",WA,2/1/2024,C 30 HB,"$896,000.00",1/30/2024,5.875%,Conventional,80.000%,80.000%,0.000%
4124XXX,Brad Overlin,Mock Borrower 108,,mock_108@example.com,,"6011 Mock St, City, WA 12345",WA,1/24/2024,C30,"$600,000.00",1/22/2024,6.625%,Conventional,75.000%,75.000%,0.000%
4126XXX,Brad Overlin,Mock Borrower 109,,mock_109@example.com,,"425 Mock St, City, WA 12345",WA,1/12/2024,C30,"$333,000.00",1/10/2024,6.625%,Conventional,79.860%,79.856%,0.000%
4123XXX,Brad Overlin,Mock Borrower 110,,mock_110@example.com,mock_co_110@example.com,"3426 Mock St, City, WA 12345",WA,1/16/2024,C 30 HB,"$869,250.00",1/12/2024,6.750%,Conventional,95.000%,95.000%,0.000%
4124XXX,Brad Overlin,Mock Borrower 111,,mock_111@example.com,mock_co_111@example.com,"4425 Mock St, City, WA 12345",WA,1/12/2024,Temp 2/1 Buydown C30 HB,"$977,428.00",1/11/2024,7.625%,Conventional,85.890%,85.890%,0.000%
4112XXX,Brad Overlin,Mock Borrower 112,,mock_112@example.com,mock_co_112@example.com,"2316 Mock St, City, WA 12345",WA,1/10/2024,WSHFC Advantage 2nd Lien w GVT 1st (DTI),"$12,560.00",1/8/2024,0.000%,Conventional,0.000%,98.621%,0.000%
4112XXX,Brad Overlin,Mock Borrower 113,,mock_113@example.com,mock_co_113@example.com,"1094 Mock St, City, WA 12345",WA,1/10/2024,WSHFC Home Adv (FHA) w ADV DPA (DTI),"$418,711.00",1/8/2024,6.125%,FHA,95.700%,98.621%,0.000%
3944XXX,Brad Overlin,Mock Borrower 114,,mock_114@example.com,mock_co_114@example.com,"6523 Mock St, City, WA 12345",WA,1/4/2024,C 30 (AMI),"$729,000.00",12/29/2023,6.562%,Conventional,90.000%,90.000%,0.000%
4084XXX,Brad Overlin,Mock Borrower 115,,mock_115@example.com,mock_co_115@example.com,"566 Mock St, City, WA 12345",WA,12/21/2023,J 30 Preferred Express,"$1,840,000.00",12/19/2023,7.250%,Conventional,80.000%,80.000%,0.000%
4045XXX,Brad Overlin,Mock Borrower 116,,mock_116@example.com,mock_co_116@example.com,"9331 Mock St, City, FL 12345",FL,12/14/2023,C30,"$206,250.00",12/12/2023,7.562%,Conventional,75.000%,75.000%,0.000%
